id,case,group,repeat,arm,first_ok,final_ok,repairs,first_named,first_raw_named,first_code_parsed,first_executed_named,any_named,any_raw_named,any_executed_named,wall_s,model_wall_s,api_s,engine_ms,first_output_tokens,first_wall_s,first_input_total,reported_cost_usd,first_code_chars,final_verdict,output_tokens,thinking_tokens,input_total,input_new,input_cache_create,input_cache_read,nonthinking_output_tokens
counter_context_0_exposed,counter_context,counter,0,exposed,False,True,1,False,False,True,False,False,False,False,47.745006000000004,46.882507,42.855,591.5409999999999,681,11.675094,64952,0.1839,245,품질 기준 통과,3047,2629,132859,4,4345,128510,418
counter_context_0_hidden,counter_context,counter,0,hidden,False,False,1,False,False,True,False,False,False,False,94.739996,93.86399300000001,87.357,622.52,274,7.852047,62922,0.27707000000000004,252,요구한 본문·행·보존 조건과 결과가 다릅니다. notes/*.txt에서 NEEDLE이 나타나는 모든 위치와 그 일치 줄만 반환해 줘. 파일·줄번호·일치 내용을 보존한다. 주변 본문을 별도로 읽거나 위치 개수를 줄이지 마.,6553,6009,129554,4,5100,124450,544
counter_context_1_exposed,counter_context,counter,1,exposed,True,True,0,False,False,True,False,False,False,False,7.501238,7.081435000000001,5.124,290.749,304,7.081435000000001,64951,0.046677500000000004,180,품질 기준 통과,304,189,64951,2,694,64255,115
counter_context_1_hidden,counter_context,counter,1,hidden,False,True,1,False,False,True,False,False,False,False,91.681307,90.790659,85.997,606.116,385,8.537294,62917,0.259465,258,품질 기준 통과,6154,5596,128791,4,4337,124450,558
counter_context_2_exposed,counter_context,counter,2,exposed,True,True,0,False,False,True,False,False,False,False,16.99403,16.589487000000002,14.674,281.271,939,16.589487000000002,64949,0.0625325,288,품질 기준 통과,939,731,64949,2,692,64255,208
counter_context_2_hidden,counter_context,counter,2,hidden,False,False,1,False,False,True,False,False,False,False,189.098129,188.688716,,,452,8.67453,62915,,232,model_transport_error,,,,,,,
counter_latest_0_exposed,counter_latest,counter,0,exposed,True,True,0,False,False,True,False,False,False,False,20.761577000000003,20.350935,18.485,284.394,1242,20.350935,64973,0.07034750000000001,241,품질 기준 통과,1242,1089,64973,2,716,64255,153
counter_latest_0_hidden,counter_latest,counter,0,hidden,False,False,1,False,False,True,False,False,False,False,83.483302,82.673062,78.605,558.783,3088,39.314821,62950,0.276735,576,요구한 본문·행·보존 조건과 결과가 다릅니다. drafts/*.md에서 파일명에 적힌 YYYY-MM-DD 날짜가 가장 늦은 문서의 11~22줄 본문을 반환해 줘. 수정시각은 선정 기준이 아니다. 후보는 report_YYYY-MM-DD.md 형식의 네 파일이며 모두 80줄이다.,6200,5446,130403,4,5949,124450,754
counter_latest_1_exposed,counter_latest,counter,1,exposed,True,True,0,False,False,True,False,False,False,False,16.894389999999998,16.501319,14.238,271.674,851,16.501319,64976,0.060602500000000004,316,품질 기준 통과,851,643,64976,2,719,64255,208
counter_latest_1_hidden,counter_latest,counter,1,hidden,True,True,0,False,False,True,False,False,False,False,30.387511,29.994552,27.933,271.791,2256,29.994552,62949,0.09474250000000001,489,품질 기준 통과,2256,1916,62949,2,722,62225,340
counter_latest_2_exposed,counter_latest,counter,2,exposed,True,True,0,False,False,True,False,False,False,False,24.095846,23.701667,20.639,272.798,1598,23.701667,64972,0.0792375,429,품질 기준 통과,1598,1299,64972,2,715,64255,299
counter_latest_2_hidden,counter_latest,counter,2,hidden,True,True,0,False,False,True,False,False,False,False,38.725477,38.326389000000006,36.038,275.795,2470,38.326389000000006,62950,0.1001025,337,품질 기준 통과,2470,2259,62950,2,723,62225,211
counter_ledger_0_exposed,counter_ledger,counter,0,exposed,True,True,0,False,False,True,False,False,False,False,91.720958,91.298119,88.949,291.043,5687,91.298119,64996,0.18170250000000002,543,품질 기준 통과,5687,5291,64996,2,739,64255,396
counter_ledger_0_hidden,counter_ledger,counter,0,hidden,True,True,0,False,False,True,False,False,False,False,30.851496,30.416582,28.474,286.392,1844,30.416582,62974,0.0846925,430,품질 기준 통과,1844,1545,62974,2,747,62225,299
counter_ledger_1_exposed,counter_ledger,counter,1,exposed,True,True,0,False,False,True,False,False,False,False,86.388147,85.985782,83.587,275.15,5444,85.985782,64998,0.1756475,735,품질 기준 통과,5444,4930,64998,2,741,64255,514
counter_ledger_1_hidden,counter_ledger,counter,1,hidden,True,True,0,False,False,True,False,False,False,False,84.809793,84.394222,82.232,276.024,5814,84.394222,62962,0.18382249999999997,531,품질 기준 통과,5814,5448,62962,2,735,62225,366
counter_ledger_2_exposed,counter_ledger,counter,2,exposed,True,True,0,False,False,True,False,False,False,False,37.060041,36.649087,34.699,280.681,2348,36.649087,65004,0.0983075,473,품질 기준 통과,2348,2001,65004,2,747,64255,347
counter_ledger_2_hidden,counter_ledger,counter,2,hidden,True,True,0,False,False,True,False,False,False,False,72.774715,72.369198,70.385,278.237,5051,72.369198,62974,0.16486750000000003,716,품질 기준 통과,5051,4585,62974,2,747,62225,466
direct_context_0_exposed,direct_context,direct,0,exposed,True,True,0,True,True,True,True,True,True,True,9.049664,8.645022,5.563,276.427,345,8.645022,64991,0.0481025,139,품질 기준 통과,345,218,64991,2,734,64255,127
