id,case,group,repeat,arm,first_ok,final_ok,repairs,first_named,first_raw_named,first_code_parsed,first_executed_named,any_named,any_raw_named,any_executed_named,wall_s,model_wall_s,api_s,engine_ms,first_output_tokens,first_wall_s,first_input_total,reported_cost_usd,first_code_chars,final_verdict,output_tokens,thinking_tokens,input_total,input_new,input_cache_create,input_cache_read,nonthinking_output_tokens
counter_context_0_exposed,counter_context,counter,0,exposed,True,True,0,False,False,True,False,False,False,False,10.017005999999999,9.597811,9.689,291.538,641,9.597811,65006,0.053335,282,품질 기준 통과,641,434,65006,987,489,63530,207
counter_context_0_hidden,counter_context,counter,0,hidden,True,True,0,False,False,True,False,False,False,False,7.171086,6.7537139999999996,6.649,288.112,400,6.7537139999999996,63653,0.046593499999999996,263,품질 기준 통과,400,207,63653,987,489,62177,193
counter_context_1_exposed,counter_context,counter,1,exposed,True,True,0,False,False,True,False,False,False,False,9.689817999999999,9.218884,9.045,293.846,493,9.218884,65009,0.04966500000000001,238,품질 기준 통과,493,320,65009,987,492,63530,173
counter_context_1_hidden,counter_context,counter,1,hidden,False,True,1,False,False,True,False,False,False,False,93.477627,92.63610899999999,92.86,580.2139999999999,409,7.224214,63653,0.26978399999999997,277,품질 기준 통과,6578,5987,132603,4301,3948,124354,591
counter_context_2_exposed,counter_context,counter,2,exposed,False,True,1,False,False,True,False,False,False,False,15.040017,14.198681,14.443,593.085,535,8.239222999999999,65009,0.147045,266,품질 기준 통과,867,391,138409,5654,5695,127060,476
counter_context_2_hidden,counter_context,counter,2,hidden,True,True,0,False,False,True,False,False,False,False,7.343615,6.930426000000001,7.217,288.268,459,6.930426000000001,63654,0.04811850000000001,313,품질 기준 통과,459,233,63654,987,490,62177,226
counter_latest_0_exposed,counter_latest,counter,0,exposed,True,True,0,False,False,True,False,False,False,False,22.42756,22.004739,22.139,285.329,1699,22.004739,65050,0.07996500000000001,337,품질 기준 통과,1699,1454,65050,1007,513,63530,245
counter_latest_0_hidden,counter_latest,counter,0,hidden,False,True,1,False,False,True,False,False,False,False,61.739817,60.916563000000004,61.805,559.262,2638,32.214594,63697,0.234466,523,품질 기준 통과,4504,3885,135683,5853,5476,124354,619
counter_latest_1_exposed,counter_latest,counter,1,exposed,True,True,0,False,False,True,False,False,False,False,40.265729,39.863394,40.051,277.159,2579,39.863394,65050,0.10192499999999999,371,품질 기준 통과,2579,2302,65050,1007,513,63530,277
counter_latest_1_hidden,counter_latest,counter,1,hidden,True,True,0,False,False,True,False,False,False,False,41.719926,41.310407,41.459,285.535,2582,41.310407,63699,0.1013435,281,품질 기준 통과,2582,2374,63699,1007,515,62177,208
counter_latest_2_exposed,counter_latest,counter,2,exposed,False,False,1,False,False,True,False,False,False,False,86.33303,85.528958,86.025,557.414,2168,31.462546,65051,0.277918,568,요구한 본문·행·보존 조건과 결과가 다릅니다. drafts/*.md에서 파일명에 적힌 YYYY-MM-DD 날짜가 가장 늦은 문서의 11~22줄 본문을 반환해 줘. 수정시각은 선정 기준이 아니다. 후보는 report_YYYY-MM-DD.md 형식의 네 파일이며 모두 80줄이다.,6177,5084,138426,5857,5509,127060,1093
counter_latest_2_hidden,counter_latest,counter,2,hidden,False,False,1,False,False,True,False,False,False,False,72.197584,71.386973,71.77,562.685,1740,22.05136,63696,0.254239,432,runtime: 독립 문장 1개 실패(나머지는 계속 실행됨),5316,4573,135591,5816,5421,124354,743
counter_ledger_0_exposed,counter_ledger,counter,0,exposed,True,True,0,False,False,True,False,False,False,False,64.810433,64.392894,64.64,283.277,4636,64.392894,65107,0.153701,657,품질 기준 통과,4636,4228,65107,1038,539,63530,408
counter_ledger_0_hidden,counter_ledger,counter,0,hidden,False,True,1,False,False,True,False,False,False,False,89.12352899999999,88.30426200000001,88.81,560.35,5101,79.40260400000001,63753,0.24121599999999999,682,품질 기준 통과,5672,4716,131791,4043,3394,124354,956
counter_ledger_1_exposed,counter_ledger,counter,1,exposed,True,True,0,False,False,True,False,False,False,False,122.59249700000001,122.18063099999999,122.236,279.727,9375,122.18063099999999,65106,0.27222599999999997,737,품질 기준 통과,9375,8929,65106,1038,538,63530,446
counter_ledger_1_hidden,counter_ledger,counter,1,hidden,True,True,0,False,False,True,False,False,False,False,33.380806,32.915596,33.035,287.175,2294,32.915596,63752,0.09459450000000001,542,품질 기준 통과,2294,1909,63752,1038,537,62177,385
counter_ledger_2_exposed,counter_ledger,counter,2,exposed,False,True,1,False,False,True,False,False,False,False,144.34781,143.42292200000003,144.009,564.836,2665,34.97436,65106,0.37426800000000005,600,품질 기준 통과,10923,10122,134561,4067,3434,127060,801
counter_ledger_2_hidden,counter_ledger,counter,2,hidden,False,False,1,False,False,True,False,False,False,False,218.566831,218.14069800000001,,,2794,38.127946,63753,,673,model_transport_error,,,,,,,
direct_context_0_exposed,direct_context,direct,0,exposed,False,True,1,False,False,True,False,True,True,True,131.468087,130.64199100000002,131.145,564.699,3429,45.700514000000005,65099,0.348577,560,품질 기준 통과,9481,8823,136353,4896,4397,127060,658
direct_context_0_hidden,direct_context,direct,0,hidden,False,False,1,False,False,True,False,False,False,False,157.77935,156.951429,160.959,563.6800000000001,6198,94.542756,63747,0.398143,870,"요구한 본문·행·보존 조건과 결과가 다릅니다. locations.json은 파일·줄번호 열이 있는 위치 목록이다. 목록 순서대로 세 위치에서 각각 지정 줄부터 5줄씩 본문을 읽어 줘. 파일·줄번호·본문을 반환하고, 없는 파일은 해당 위치와 오류를 남겨 줘. 한 곳이 없어도 나머지는 읽어야 한다.",11026,9858,135946,6080,5512,124354,1168
direct_context_1_exposed,direct_context,direct,1,exposed,False,False,1,False,False,True,False,False,False,False,142.513415,141.685818,142.189,568.691,3386,42.387756,65098,0.36818000000000006,764,"요구한 본문·행·보존 조건과 결과가 다릅니다. locations.json은 파일·줄번호 열이 있는 위치 목록이다. 목록 순서대로 세 위치에서 각각 지정 줄부터 5줄씩 본문을 읽어 줘. 파일·줄번호·본문을 반환하고, 없는 파일은 해당 위치와 오류를 남겨 줘. 한 곳이 없어도 나머지는 읽어야 한다.",9826,8659,138285,5814,5411,127060,1167
direct_context_1_hidden,direct_context,direct,1,hidden,False,False,1,False,False,True,False,False,False,False,161.73508600000002,160.904226,161.414,570.219,8464,127.030575,63745,0.391148,813,"요구한 본문·행·보존 조건과 결과가 다릅니다. locations.json은 파일·줄번호 열이 있는 위치 목록이다. 목록 순서대로 세 위치에서 각각 지정 줄부터 5줄씩 본문을 읽어 줘. 파일·줄번호·본문을 반환하고, 없는 파일은 해당 위치와 오류를 남겨 줘. 한 곳이 없어도 나머지는 읽어야 한다.",10954,9718,135024,5635,5035,124354,1236
direct_context_2_exposed,direct_context,direct,2,exposed,False,False,1,False,False,True,False,False,False,False,294.29182299999997,293.45047,293.678,577.981,9465,121.148733,65099,0.66969,649,"요구한 본문·행·보존 조건과 결과가 다릅니다. locations.json은 파일·줄번호 열이 있는 위치 목록이다. 목록 순서대로 세 위치에서 각각 지정 줄부터 5줄씩 본문을 읽어 줘. 파일·줄번호·본문을 반환하고, 없는 파일은 해당 위치와 오류를 남겨 줘. 한 곳이 없어도 나머지는 읽어야 한다.",22370,21106,136164,4814,4290,127060,1264
direct_context_2_hidden,direct_context,direct,2,hidden,False,False,1,False,False,True,False,False,False,False,199.16019699999998,198.204926,198.884,590.139,5605,83.82406900000001,63747,0.459349,705,"요구한 본문·행·보존 조건과 결과가 다릅니다. locations.json은 파일·줄번호 열이 있는 위치 목록이다. 목록 순서대로 세 위치에서 각각 지정 줄부터 5줄씩 본문을 읽어 줘. 파일·줄번호·본문을 반환하고, 없는 파일은 해당 위치와 오류를 남겨 줘. 한 곳이 없어도 나머지는 읽어야 한다.",14300,13010,132204,4236,3614,124354,1290
direct_latest_0_exposed,direct_latest,direct,0,exposed,True,True,0,True,True,True,True,True,True,True,17.312604999999998,16.909044,17.165,280.515,1165,16.909044,65019,0.066324,107,품질 기준 통과,1165,1032,65019,996,493,63530,133
direct_latest_0_hidden,direct_latest,direct,0,hidden,False,False,1,False,False,True,False,False,False,False,202.58072700000002,202.17535500000002,,,1774,22.158758000000002,63668,,478,model_transport_error,,,,,,,
direct_latest_1_exposed,direct_latest,direct,1,exposed,True,True,0,True,True,True,True,True,True,True,7.966151,7.5593069999999996,7.585,282.882,376,7.5593069999999996,65020,0.046569,54,품질 기준 통과,376,287,65020,996,494,63530,89
direct_latest_1_hidden,direct_latest,direct,1,hidden,False,False,1,False,False,True,False,False,False,False,118.92262600000001,118.09011600000001,118.396,579.389,741,10.352554,63669,0.33655100000000004,355,"요구한 본문·행·보존 조건과 결과가 다릅니다. drafts/*.md의 문서 중 가장 최근에 수정된 문서에서 11~22줄 본문을 반환해 줘. 파일명의 날짜가 아니라 수정시각 기준이다. 후보는 4개, 수정시각 동률은 없고 모두 80줄이다.",8680,7842,135309,5688,5267,124354,838
direct_latest_2_exposed,direct_latest,direct,2,exposed,True,True,0,True,True,True,True,True,True,True,19.434034,19.018566,19.217,282.118,1352,19.018566,65020,0.07090900000000001,105,품질 기준 통과,1352,1214,65020,996,494,63530,138
direct_latest_2_hidden,direct_latest,direct,2,hidden,False,False,1,False,False,True,False,False,False,False,107.978332,107.153605,107.65,563.932,2793,36.071768,63668,0.321257,440,"요구한 본문·행·보존 조건과 결과가 다릅니다. drafts/*.md의 문서 중 가장 최근에 수정된 문서에서 11~22줄 본문을 반환해 줘. 파일명의 날짜가 아니라 수정시각 기준이다. 후보는 4개, 수정시각 동률은 없고 모두 80줄이다.",8022,7283,135495,5764,5377,124354,739
direct_ledger_0_exposed,direct_ledger,direct,0,exposed,True,True,0,True,True,True,True,True,True,True,7.121601,6.705556,6.672,282.808,405,6.705556,65085,0.047823,239,품질 기준 통과,405,216,65085,1025,530,63530,189
direct_ledger_0_hidden,direct_ledger,direct,0,hidden,False,False,1,False,False,True,False,False,False,False,154.110937,153.51333499999998,154.172,285.73,4630,63.795411,63731,0.38261500000000004,391,IBLSyntaxError: 괄호 분기 파이프 파싱 실패: $합 — 괄호 분기 안은 액션 step(병렬에서는 변수 통화도 가능)을 >> 로 이은 파이프만 허용합니다(중첩 병렬/폴백/블록 불가).,11141,10264,132689,4517,3818,124354,877
direct_ledger_1_exposed,direct_ledger,direct,1,exposed,True,True,0,True,True,True,True,True,True,True,8.312321,7.897220999999999,7.949,283.399,508,7.897220999999999,65085,0.050398,239,품질 기준 통과,508,319,65085,1025,530,63530,189
direct_ledger_1_hidden,direct_ledger,direct,1,hidden,False,True,1,False,False,True,False,False,False,False,156.56171799999998,155.722984,156.43,569.958,5839,82.560197,63732,0.36353199999999997,393,품질 기준 통과,10791,10317,130789,3554,2881,124354,474
direct_ledger_2_exposed,direct_ledger,direct,2,exposed,False,True,1,True,True,True,True,True,True,True,23.778809000000003,22.943879000000003,23.348,569.153,1247,16.891035,65085,0.162419,269,품질 기준 통과,1554,1154,137998,5393,5545,127060,400
direct_ledger_2_hidden,direct_ledger,direct,2,hidden,False,True,1,False,False,True,False,False,False,False,106.23276700000001,105.32933,105.687,568.1310000000001,7034,97.05999899999999,63733,0.30448300000000006,618,품질 기준 통과,7563,6658,134422,5185,4883,124354,905
embedded_context_0_exposed,embedded_context,embedded,0,exposed,False,True,1,False,False,True,False,True,True,True,113.60078,112.782478,113.38,571.855,6164,76.626148,65291,0.34448900000000005,867,품질 기준 통과,8761,7669,138630,5878,5692,127060,1092
embedded_context_0_hidden,embedded_context,embedded,0,hidden,False,False,1,False,False,True,False,False,False,False,153.367649,152.839478,153.377,282.339,7890,94.343238,63937,0.40358600000000006,1049,runtime: 독립 문장 1개 실패(나머지는 계속 실행됨),12697,11405,129570,3048,2168,124354,1292
embedded_context_1_exposed,embedded_context,embedded,1,exposed,False,False,1,True,True,True,True,True,True,True,178.797182,177.973624,178.91,564.033,6287,80.087451,65291,0.463772,617,"runtime: 독립 문장 2개 실패(나머지는 계속 실행됨) — 뿌리 1: step 7 $스니펫 할당 실패: Step 7 에러: each: 3건 전부 실패 — 첫 오류: Step 2 에러: $return = [{파일: $it.파일, 줄번호: $it.줄번호, 본문: $읽음.value}]: 식 오류 $읽음.value 경로가 값에 없습니다. (연쇄 1개는 그 변수를 읽어 죽은 문장)",13426,12359,139044,6056,5928,127060,1067
embedded_context_1_hidden,embedded_context,embedded,1,hidden,False,False,1,False,False,True,False,False,False,False,203.83817000000002,202.993277,203.755,583.12,5618,68.49233100000001,63937,0.5262060000000001,1082,"요구한 본문·행·보존 조건과 결과가 다릅니다. 수정 검토 자료를 준비해 줘. review_locations.json에는 파일·줄번호·state·priority 열이 있다. state=open, priority>=3인 위치를 파일명 오름차순으로 정렬한 앞 세 곳의 지정 줄부터 5줄씩 본문을 수집해서 outputs/snippets.json에 저장해 줘. 각 결과에는 파일·줄번호·본문이 필요하고 읽을 수 없는 곳은 위치와 오류를 남긴다. 별도로 state=closed인 원래 행 전부를 파일명 오름차순으로 outputs/closed.json에 저장해 줘. 입력 파일은 변경하지 마.",16046,14308,136117,5983,5780,124354,1738
embedded_context_2_exposed,embedded_context,embedded,2,exposed,False,False,1,False,False,True,False,False,False,False,269.312735,268.49627399999997,268.804,569.298,7864,95.998959,65291,0.655565,1100,"요구한 본문·행·보존 조건과 결과가 다릅니다. 수정 검토 자료를 준비해 줘. review_locations.json에는 파일·줄번호·state·priority 열이 있다. state=open, priority>=3인 위치를 파일명 오름차순으로 정렬한 앞 세 곳의 지정 줄부터 5줄씩 본문을 수집해서 outputs/snippets.json에 저장해 줘. 각 결과에는 파일·줄번호·본문이 필요하고 읽을 수 없는 곳은 위치와 오류를 남긴다. 별도로 state=closed인 원래 행 전부를 파일명 오름차순으로 outputs/closed.json에 저장해 줘. 입력 파일은 변경하지 마.",21135,19339,138954,6044,5850,127060,1796
embedded_context_2_hidden,embedded_context,embedded,2,hidden,False,False,1,False,False,True,False,False,False,False,173.20495300000002,172.327438,172.292,577.509,6085,79.113056,63938,0.45716500000000004,879,"요구한 본문·행·보존 조건과 결과가 다릅니다. 수정 검토 자료를 준비해 줘. review_locations.json에는 파일·줄번호·state·priority 열이 있다. state=open, priority>=3인 위치를 파일명 오름차순으로 정렬한 앞 세 곳의 지정 줄부터 5줄씩 본문을 수집해서 outputs/snippets.json에 저장해 줘. 각 결과에는 파일·줄번호·본문이 필요하고 읽을 수 없는 곳은 위치와 오류를 남긴다. 별도로 state=closed인 원래 행 전부를 파일명 오름차순으로 outputs/closed.json에 저장해 줘. 입력 파일은 변경하지 마.",13314,11826,135981,5912,5715,124354,1488
embedded_latest_0_exposed,embedded_latest,embedded,0,exposed,False,False,1,True,True,True,True,True,True,True,56.42706,55.60439,56.564,564.1089999999999,2375,28.893896,65199,0.83632,495,"요구한 본문·행·보존 조건과 결과가 다릅니다. 인수인계 자료 두 개를 준비해 줘. drafts/*.md 네 문서 중 수정시각이 가장 최근인 문서의 11~22줄을 outputs/excerpt.txt에 저장하고, queue.json에서 state가 open이고 priority가 3 이상인 항목을 id 오름차순으로 outputs/pending.json에 저장해 줘. 문서들은 모두 80줄이고 수정시각 동률은 없다. JSON은 원래 행의 모든 필드를 보존한다. 입력 파일은 변경하지 마.",4263,3558,138748,5944,69274,63530,705
embedded_latest_0_hidden,embedded_latest,embedded,0,hidden,False,False,1,False,False,True,False,False,False,False,178.127799,177.20062299999998,177.691,569.675,3471,44.499077,63845,1.0530865,798,runtime: 독립 문장 1개 실패(나머지는 계속 실행됨),13558,12486,135890,5922,67791,62177,1072
embedded_latest_1_exposed,embedded_latest,embedded,1,exposed,False,False,1,True,True,True,True,True,True,True,80.975853,80.13047999999999,80.345,576.5360000000001,2798,33.243627999999994,65196,0.283611,509,"요구한 본문·행·보존 조건과 결과가 다릅니다. 인수인계 자료 두 개를 준비해 줘. drafts/*.md 네 문서 중 수정시각이 가장 최근인 문서의 11~22줄을 outputs/excerpt.txt에 저장하고, queue.json에서 state가 open이고 priority가 3 이상인 항목을 id 오름차순으로 outputs/pending.json에 저장해 줘. 문서들은 모두 80줄이고 수정시각 동률은 없다. JSON은 원래 행의 모든 필드를 보존한다. 입력 파일은 변경하지 마.",6299,5520,138727,5920,5747,127060,779
embedded_latest_1_hidden,embedded_latest,embedded,1,hidden,False,False,1,False,False,True,False,False,False,False,113.04214,112.441066,112.994,285.66499999999996,5152,63.842408000000006,63846,0.347788,715,IBLSyntaxError: 괄호 분기 파이프 파싱 실패: $doc — 괄호 분기 안은 액션 step(병렬에서는 변수 통화도 가능)을 >> 로 이은 파이프만 허용합니다(중첩 병렬/폴백/블록 불가).,8969,7825,135870,5890,5626,124354,1144
embedded_latest_2_exposed,embedded_latest,embedded,2,exposed,False,False,1,True,True,True,True,True,True,True,89.370704,88.541298,88.847,567.909,4849,60.632176,65197,0.296292,479,"요구한 본문·행·보존 조건과 결과가 다릅니다. 인수인계 자료 두 개를 준비해 줘. drafts/*.md 네 문서 중 수정시각이 가장 최근인 문서의 11~22줄을 outputs/excerpt.txt에 저장하고, queue.json에서 state가 open이고 priority가 3 이상인 항목을 id 오름차순으로 outputs/pending.json에 저장해 줘. 문서들은 모두 80줄이고 수정시각 동률은 없다. JSON은 원래 행의 모든 필드를 보존한다. 입력 파일은 변경하지 마.",6825,6133,138609,5861,5688,127060,692
embedded_latest_2_hidden,embedded_latest,embedded,2,hidden,False,False,1,False,False,True,False,False,False,False,87.05586500000001,86.50567699999999,86.961,287.592,4437,56.014707,63845,0.257455,943,runtime: 독립 문장 1개 실패(나머지는 계속 실행됨),6932,5769,129180,2842,1984,124354,1163
embedded_ledger_0_exposed,embedded_ledger,embedded,0,exposed,False,False,1,False,True,False,False,True,True,True,68.438988,68.025013,68.418,,1688,26.348018,65166,0.195652,0,runtime: 독립 문장 1개 실패(나머지는 계속 실행됨),4737,3834,130489,2201,1228,127060,903
embedded_ledger_0_hidden,embedded_ledger,embedded,0,hidden,False,False,1,False,False,True,False,False,False,False,331.47191,331.070114,,,11602,151.054437,63812,,1121,model_transport_error,,,,,,,
embedded_ledger_1_exposed,embedded_ledger,embedded,1,exposed,False,True,1,True,True,True,True,True,True,True,49.881800000000005,49.03845,49.52,574.573,2941,37.835477,65166,0.218246,738,품질 기준 통과,3726,2675,138354,5630,5664,127060,1051
embedded_ledger_1_hidden,embedded_ledger,embedded,1,hidden,True,True,0,False,False,True,False,False,False,False,147.978758,147.513805,147.395,282.844,10622,147.513805,63814,0.30312950000000005,610,품질 기준 통과,10622,10206,63814,1063,574,62177,416
embedded_ledger_2_exposed,embedded_ledger,embedded,2,exposed,False,True,1,True,True,True,True,True,True,True,34.776163000000004,33.941758,34.758,568.69,1961,24.335467,65167,0.18781599999999998,472,품질 기준 통과,2597,1983,137956,5435,5461,127060,614
embedded_ledger_2_hidden,embedded_ledger,embedded,2,hidden,True,True,0,False,False,True,False,False,False,False,128.486386,128.021153,128.068,286.202,9807,128.021153,63812,0.2827345,1199,품질 기준 통과,9807,9037,63812,1063,572,62177,770
